store_number,name,address,postcode,city,state,phone,latitude,longitude,has_pharmacy
191,GUARDIAN GIANT SUPERSTORE NILAI,"LOT G34, G35, G38, G39,GIANT SUPERSTORE NILAI,PT6367, JALAN BBN 3/1, PUTRA NILAI",71800,Negeri Sembilan,Negeri Sembilan,06-799 1661,2.81211,101.791,true
192,GUARDIAN TARGET SRI KLUANG,"LOT G8, GIANT SUPERSTORE SRI KLUANG,NO1 JALAN 6,TAMAN SRI KLUANG",86000,Johor,Johor,07-772 4223,2.02813,103.299,false
193,GUARDIAN GIANT HYPERMARKET BDR KINRARA,"LOT F7, F8 & F9,,LOT 449, JALAN BK 5A/1,,BANDAR KINRARA",47100,Selangor,Selangor,0380711131,3.04954,101.646,true
194,GUARDIAN GIANT KOTA DAMANSARA,"LT F40 GIANT HYPERMARKET KOTA DSARA,16 JALAN PJU 5/1,KOTA DAMANSARA, PJU5",47810,Selangor,Selangor,03-6142 2046,3.15603,101.596,false
195,GUARDIAN GIANT KUALA TERENGGANU,"LOT G09-G16,,H.S(D) 6971, LOT PT 1485,,MUKIM CABANG TIGA,",21100,Terengganu,Trengganu,09-622 7081,5.31072,103.128,true
196,GUARDIAN NSK MUAR,"LOT F10 - F11, GIANT HYPERMARKET,LOT 6530, TANJUNG AGAS, MUKIM KESAS,DAERAH MUAR",84000,Johor,Johor,06-951 6587,2.05276,102.567,false
197,Guardian Sunway Carnival Prai,"LG31A-LG32,LG, SUNWAY CARNIVAL MALL,NO 3068 JALAN TODAK,PUSAT BANDAR SEBERANG JAYA",13700,Pulau Pinang,Pulau Pinang,043987948,5.39927,100.398,true
199,PARKCITY MALL BINTULU,"UNIT 08,09 & 10,LEVEL 1 PARKCITY MALL,JALAN TUN AHMAD ZAIDI",97008,Sarawak,Sarawak,086-334 622,3.18004,113.037,false
200,TAMAN KOSAS AMPANG,"LOT NO 5 & 7, GROUND FLOOR,JALAN KOSAS 1/2,,TAMAN KOSAS",68000,Selangor,Selangor,0342959051,3.14583,101.771,true
201,PEKAN SIMPANG KUALA ALOR SETAR,"LOT NO 60 & 61, GROUND FLOOR,JALAN PSK 1, PEKAN SIMPANG KUALA",5400,Kedah,Kedah,04-771 5709,6.09972,100.364,false
202,GUARDIAN GIANT CITY MALL KOTA KINABALU,"Lot M-0-77 (S014), Ground Floor City Mall, Jalan Lintas 88300 Kota Kinabalu Sabah",88300,Sabah,Sabah,088-448 260,5.961414064157708, 116.09734713951019,false
203,GUARDIAN GIANT KEPAYAN KOTA KINABALU,"GIANT SUPERSTORE KEPAYAN,CENTRAL SHOPPING PLAZA,GROUND FLOOR,JALAN BANJARAN, KEPAYAN RIDGE",88200,Sabah,Sabah,088-231 972,5.95094,116.072,false
205,JITRA MALL KEDAH,"LOT NO :G-38 & G-39,GROUND FLOOR, JITRA MALL",6000,Kedah,Kedah,04-917 7817,6.26124,100.419,false
206,"JALAN LUMUT, PEKAN SITIAWAN","LOT NO 31, GROUND FLOOR,JALAN LUMUT",32000,Perak,Perak,05-691 3331,4.21636,100.694,false
207,SHAW CENTREPOINT KLANG,"LG 17 & 18, TINGKAT LOWER GROUND,KOMPLEK SHAW CENTREPOINT,JALAN RAJA HASSAN",41400,Selangor,Selangor,03-3344 0578,3.04853,101.448,false
208,PARIT RAJA BATU PAHAT,"LOT NO 1 & 2 GROUND FLOOR,JALAN CEMPAKA 2,TAMAN CEMPAKA BIRU, PARIT RAJA",86400,Johor,Johor,07-453 1501,1.86557,103.115,false
210,BANDAR BARU RAWANG,"LOT NO 15 GF,JALAN BANDAR BARU RAWANG 10,BANDAR BARU RAWANG",48000,Selangor,Selangor,03-6091 0425,3.31892,101.578,false
213,"TAMAN UNGKU TUN AMINAH,JOHOR","LOT 7, JALAN PENDEKAR 16, TAMAN UNGKU TUN AMINAH",81300,Johor,Johor,075586731,1.51912,103.66,false
214,GUARDIAN JALAN RAJA JALIL KUALA SELANGOR,"LOT NO 28, GROUND FLOOR,,JALAN RAJA JALIL",45000,Selangor,Selangor,03-3289 8188,3.34074,101.249,false
215,"STAR PARADE, ALOR SETAR","LOT NO. 34, 35 & 36, GROUND FLOOR,,888, KOMPLEKS STAR PARADE,,JALAN TELUK WANJAH,",5200,Kedah,Kedah,04-734 0314,6.12298,100.374,false
216,PEKAN BATU GAJAH,"3 GROUND FLOOR,JALAN PEJABAT POS",31000,Perak,Perak,05-366 6933,4.47179,101.042,false
217,PASIR PUTEH,"PT 483, TINGKAT BAWAH,,DEPAN STESEN MINYAK ESSO,,JALAN KOTA BAHRU,",16800,Kelantan,Kelantan,09-786 2059,5.83625,102.408,false
218,GUARDIAN GIANT PUTATAN,"GIANT HYPERMARKET PUTATAN,,NO.CL 215012883, KM11 JLN PUTATAN,,PUTATAN RAILWAY STATION",88869,Sabah,Sabah,088-772 831,5.89325,116.049,false
221,PEKAN TEMERLOH,"NO. 25, GROUND FLOOR,,JALAN TENGKU BAKAR",28000,Pahang,Pahang,09-296 0813,3.45084,102.42,false
223,BANDAR SETIA ALAM,"9-1-1, GROUND FLOOR,,JALAN SETIA PRIMA RU 13/R,,SETIA ALAM, SEKSYEN U13,",40170,Selangor,Selangor,03-3343 7529,3.10065,101.444,false
224,"DATARAN TEMPLER, SELAYANG","NO. 18, GROUND FLOOR,,JALAN 2/12, DATARAN TEMPLER,,BANDAR BARU SELAYANG,",68100,Selangor,Selangor,03-6137 3580,3.25678,101.658,false
225,BOULEVARD SHOPPING MALL,"LOT G-B-2 & G-B-3A,,GROUND FLOOR,,BOULEVARD SHOPPING MALL,",93250,Sarawak,Sarawak,082464580,1.50968,110.336,true
226,SEKSYEN 28 SHAH ALAM,"NO 15G, GROUND FLOOR,JALAN PULAU KEMPAS 28/3,SEKSYEN 28, TAMAN ALAM MEGAH",40400,Selangor,Selangor,03-5192 9359,3.00724,101.569,false
228,KINGFISHER KOTA KINABALU,"NO 2 GROUND FLOOR,BLOCK D, LORONG PLAZA KINGFISHER 6,PLAZA KINGFISHER",88450,Sabah,Sabah,088-385 371,6.01659,116.123,false
229,AYER ITAM,"NO 1228B, GROUND FLOOR,DESA PERMATA, JALAN PAYA TERUBONG,AYER ITAM",11060,Pulau Pinang,Pulau Pinang,04-828 2946,5.39431,100.277,false
231,BANDAR BARU BANGI,"LOT NO. 2, GROUND FLOOR,,JALAN 3/69, SEKSYEN 3,,BANDAR BARU BANGI",43650,Selangor,Selangor,03-8920 3790,2.93842,101.776,false
233,BERJAYA MEGAMALL,"LOT G.53A-G57,GROUND FLOOR,,BERJAYA MEGAMALL,JALAN TUN ISMAIL,,SRI DAGANGAN",25000,Pahang,Pahang,09-508 3875,3.81585,103.33,false
234,"TANJUNG AGAS,K-MART MUAR","NO. 9A, GROUND FLOOR, K-MART,LOT 3153, JALAN KESANG,,TANJUNG AGAS",84000,Johor,Johor,06-953 7441,2.06281,102.556,false
235,BANDAR BARU AMPANG,"NO.20,GROUND FLOOR,,JALAN WAWASAN AMPANG 2/3,,BANDAR BARU AMPANG",68000,Selangor,Selangor,03-4297 5260,3.14555,101.768,false
236,SEMENYIH TOWN,"47-G, GF,JALAN SEMENYIH SENTRAL 3,SEMENYIH SENTRAL",43500,Selangor,Selangor,03-8724 6651,2.94488,101.845,false
237,"KEMAMAN, TERENGGANU","LOT NO K-721 GROUND FLOOR,JALAN SULAIMANI,,CHUKAI",24000,Terengganu,Trengganu,09-859 2104,4.23333,103.424,false
239,"JERTEH, TERENGGANU","NO. G-244,GROUND FLOOR,JALAN TUAN HITAM,",22000,Terengganu,Trengganu,09-690 3585,5.73766,102.495,false
242,PJ OLD TOWN,"LOT NO. 100, GROUND FLOOR,,JALAN OTHMAN 1/14",46000,Selangor,Selangor,03-7784 2170,3.08673,101.647,false
243,BIDOR PERAK,"NO 3 PT2319, GROUND FLOOR,JALAN PERSATUAN",35500,Perak,Perak,05-434 0030,4.11324,101.287,false
244,TAMAN PEKAKA SUNGAI DUA,"NO 15 GROUND FLOOR LEBUH PEKAKA 1,TAMAN PEKAKA,SUNGAI DUA",11700,Pulau Pinang,Pulau Pinang,04-658 6034,5.34944,100.296,false
245,LABIS TOWN JOHORE,"75 GROUND FLOOR,JALAN SEGAMAT,TAMAN ORKID BARU",85300,Johor,Johor,07-925 5087,2.3966,103.019,false
248,GUARDIAN GIANT KLANG SENTRAL,"LT F22 NO2 PERSIARAN KLANG SENTRAL4,TAMAN KLANG SENTRAL,BUKIT RAJA, MERU",41050,Selangor,Selangor,0333416210,3.10734,101.441,false
252,BATU PAHAT MALL BATU PAHAT,"LOT G71 & G72 BATU PAHAT MALL,JALAN KLUANG",83000,Johor,Johor,07-432 7235,1.86364,102.962,false
253,BRINCHANG TOWN,"NO 15 & 16, GROUND FLOOR,JALAN BESAR,BRINCHANG",39100,Pahang,Pahang,05-491 1585,4.49208,101.389,false
254,TAMAN SEJATI INDAH SG PETANI,"NO 13 GROUND FLOOR,JALAN PERMATANG GEDUNG,TAMAN SEJATI INDAH",8000,Kedah,Kedah,04-431 8032,5.61314,100.483,false
255,VISTA MAGNA,"NO 16 GROUND FLOOR VISTA MAGNA,JALAN PRIMA",52100,Wil. Persekutuan,Kuala Lumpur,03-6258 7971,3.21345,101.643,false
256,PEKAN SUNGAI BESAR,"NO 19E GROUND FLOOR,JALAN MAHSURI",45300,Selangor,Selangor,03-3224 3992,3.67441,100.986,false
257,TAMAN DAYA JOHOR BARU,"NO 36 GROUND FLOOR,JALAN SAGU 8,TAMAN DAYA",81100,Johor,Johor,07-353 7951,1.54482,103.763,false
258,TAMAN INTAN KLUANG,"NO.46, GROUND FLOOR,,JALAN INTAN 2/1,TAMAN INTAN",86000,Johor,Johor,07-774 4398,2.01822,103.301,false
259,KOTA MASAI PASIR GUDANG,"NO 1, GROUND FLOOR,,JALAN BACANG 36,KOTA MASAI",81700,Johor,Johor,07-256 2575,1.4908,103.927,false
260,"TAMAN IMPIAN EMAS, SKUDAI JB","NO. 59, GROUND FLOOR,,JALAN IMPIAN EMAS 3,,TAMAN IMPIAN EMAS,",81300,Johor,Johor,07-559 9220,1.54046,103.684,false
261,"MESRA MALL, KERTEH","No. 34,35 & 35A, GROUND FLOOR,MESRA MALL,",24300,Terengganu,Trengganu,09-864 1113,4.441,103.448,false
262,BANDAR DAMAI PERDANA,"NO. 21, GROUND FLOOR,,JALAN DAMAI PERDANA 1/9B,BANDAR DAMAI PERDANA",56000,Wil. Persekutuan,Kuala Lumpur,03-9105 6521,3.04572,101.74,false
263,JALAN TUN ISMAIL KUANTAN,"NO. 23 GROUND FLOOR,JALAN TUN ISMAIL",25000,Pahang,Pahang,09-514 9859,3.81037,103.324,false
264,BANDAR PUTERI PUCHONG,"NO. 27, GROUND FLOOR,JALAN PUTERI 2/1,BANDAR PUTERI PUCHONG",47100,Selangor,Selangor,03-8068 1260,3.02444,101.617,false
266,PEKAN SARIKEI SARAWAK,NO 23D JALAN ABDUL RAHMAN,96100,Sarawak,Sarawak,084-654 811,2.13108,111.518,false
267,JALAN SUDIRMAN TEMERLOH,"NO 32 GROUND FLOOR,JALAN SUDIRMAN 1,BANDAR BARU SERI SEMANTAN",28000,Pahang,Pahang,09-296 6869,3.44954,102.416,false
268,MEDAN IDAMAN,"32 GROUND FLOOR,JALAN 2/21D MEDAN IDAMAN",53000,Wil. Persekutuan,Kuala Lumpur,03-4024 6186,3.213,101.712,false
269,TAMAN JOHOR JAYA JOHOR BAHRU,"NO 58 & 60, GROUND FLOOR,JALAN DEDAP 4,TAMAN JOHOR JAYA",81100,Johor,Johor,07-354 2015,1.54143,103.804,false
271,GUARDIAN GIANT DESA PETALING,"LOT NO 1-02, PLAZA SALAK PARK,NO 2 JALAN 1/125E,TAMAN DESA PETALING",57100,Wil. Persekutuan,Kuala Lumpur,03-9056 2944,3.08287,101.702,false
273,MEGALONG KOTA KINABALU,"LOT G-088A GRD FLR BLK E,MEGALONG MALL,DONGGONGON NEW TOWNSHIP PHASE 3",89500,Sabah,Sabah,015-4840 2218,5.91281,116.104,false
275,ONE BORNEO KOTA KINABALU,"LOT NO G-349 GROUND FLOOR,ONE BORNEO HYPERMALL,JALAN SULAMAN",88400,Sabah,Sabah,088-447 642,6.03621,116.13,true
277,MIDVALLEY MEGAMALL,"LOT NO F-029C, MIDVALLEY MEGAMALL,MIDVALLEY CITY,LINGKARAN SYED PUTRA",59200,Wil. Persekutuan,Kuala Lumpur,0322834864,3.11862,101.677,false
278,"MEDAN SETIA, BUKIT DAMANSARA","NO.59, GROUND & MEZZANINE FLOOR,,JALAN MEDAN SETIA 1,,BUKIT DAMANSARA",50490,Wil. Persekutuan,Kuala Lumpur,03-2095 2927,3.15029,101.653,false
280,GUARDIAN GIANT BREM MALL,"G-19 LEVEL G,BREM MALL,JALAN KEPONG",52000,Wil. Persekutuan,Kuala Lumpur,03-6258 4088,3.20458,101.668,false
282,JALAN GAYA KOTA KINABALU,"LOT NO 99, GROUND FLOOR,JALAN GAYA",88000,Sabah,Sabah,088-269 461,5.98362,116.077,false
283,GUARDIAN GIANT HYPERMARKET NUSA BESTARI,"LOT F22 1ST FLOOR,GIANT HYPERMARKET NUSA BESTARI,NO1 JLN BESTARI 7/2 TMN NUSA BESTAR",81300,Johor,Johor,07-235 7688,1.48342,103.665,false
284,GUARDIAN GIANT HYPER SERI KEMBANGAN,"LOT F20, 1ST FLOOR,JLN PUTRA PERMAI,BANDAR PUTRA PERMAI",43300,Selangor,Selangor,03-8943 0154,2.9836,101.663,false
285,GUARDIAN GIANT HYPERMARKET BANTING,"LOTG53,GIANT HYPERMARKET BANTING,LOT555 PERSIARAN KOTA SERI LANGAT,KOTA SERI LANGAT",42700,Selangor,Selangor,03-3180 1654,2.83705,101.529,false
286,GUARDIAN GIANT HYPER KEMUNING UTAMA,"LT F07,1ST FLR GIANT KEMUNING UTAMA,NO 3 JALAN KEMUNING PRIMA E33/E,KEMUNING UTAMA, SEKSYEN 33",40400,Selangor,Selangor,03-5121 1280,3.01855,101.538,false
287,BANDAR PERDA BUKIT MERTAJAM,"NO 460, GROUND FLOOR,JALAN PERMATANG RAWA,BANDAR PERDA",14000,Pulau Pinang,Pulau Pinang,04-530 1012,5.36591,100.436,false
288,JALAN RAJA TAPAH,"NO 17, GROUND FLOOR,JALAN RAJA",35000,Perak,Perak,05-401 1811,4.19714,101.26,false
289,VIVA,"UNIT NO 1-09, GROUND FLOOR,BLOCK A, VIVA,NO 378 JALAN IPOH",51200,Wil. Persekutuan,Kuala Lumpur,03-4043 0911,3.17815,101.686,false
290,VILLAGE MALL SUNGEI PETANI,"LOT G-25&26, GRD FLOOR VILLAGE MALL,JALAN LEGENDA 1,LEGENDA HEIGHTS",8000,Kedah,Kedah,04-421 0393,5.66005,100.501,true
291,MEDAN RAJA SYED ALWI KANGAR,"NO 50, GROUND FLOOR,MEDAN RAJA SYED ALWI",1000,Perlis,Perlis,04-976 0020,6.44025,100.196,false
293,STAR CITY NORTH KOTA KINABALU,31 GROUND FLOOR STAR CITY,88000,Sabah,Sabah,088-447 327,5.97558,116.073,false
294,AEON BIG AMPANG,"LOT NO F2.28,F2.29,F2.35 & F2.36,CARREFOUR SHOPPING CENTRE, LOT 613,,TAMAN DAGANG PERMAI",68000,Selangor,Selangor,03-4291 6311,3.14051,101.779,false
295,AEON BIG TUN HUSSEIN ONN,"LOT NO F1.15, F1.16, F1.17 & F1.18,CARREFOUR SHOPPING CENTRE,BANDAR TUN HUSSEIN ONN",43200,Selangor,Selangor,03-9075 2480,3.04866,101.758,false
296,SENAI AIRPORT JOHORE,"LOT E5, PUBLIC CONCOURSE, AEON MALL,SULTAN ISMAIL INTERNATIONAL AIRPORT",81250,Johor,Johor,07-599 7269,1.63616,103.667,false
297,AEON AU2 TAMAN KERAMAT,"LOTG63, AEON AU2 SHOPPING CENTRE,NO6 JLN TAMAN SETIWANGSA(JLN 37/56),AU2 TAMAN KERAMAT",54200,Wil. Persekutuan,Kuala Lumpur,03-4251 7116,3.17806,101.75,false
301,GUARDIAN GIANT HYPER SHAH ALAM BINTANG,"LOT G005-G008,GIANT HYPER SHAH ALAM,NO 2 JLN PLUMBUM T7/T,PUSAT KOMERSIAL SEK7",40000,Selangor,Selangor,03-5510 2870,3.06592,101.489,false
302,SURIA SABAH SHOPPING MALL,"LOT B-58, B-59, B-60 & PART OF B-61,LOWER GROUND FLOOR,SURIA SABAH SHOPPING MALL",88000,Sabah,Sabah,088488739,5.98743,116.077,true
312,AEON TAMAN EQUINE,"LOT G13 AEON TAMAN EQUINE SHOPPING,NO 2 JALAN EQUINE,TAMAN EQUINE, BANDAR PUTRA PERMAI",43300,Selangor,Selangor,03-8943 2581,2.99439,101.675,false
315,DWITASIK TASEK PERMAISURI,"NO 11, GROUND FLOOR, JALAN DWITASIK,BANDAR TASEK PERMAISURI,CHERAS",56000,Wil. Persekutuan,Kuala Lumpur,03-9171 5421,3.09927,101.713,false
317,GUARDIAN GIANT SUPERMARKET PUTERA JAYA,"LOT 8, GROUND FLOOR, BLOCK C,TAMAN PUTERA JAYA 1,MILE 13, JALAN TUARAN, TELIPOK",88450,Sabah,Sabah,088-497 780,6.0763,116.187,false
318,TAIPING SENTRAL,"LOT G-39 & G-40, GROUND FLOOR,TAIPING SENTRAL MALL,NO 36, JALAN ISTANA LARUT",34000,Perak,Perak,05-808 1790,4.8654,100.731,false
320,AEON RAWANG,"LOT G05, GROUND FLOOR,KOMPLEKS BELI BELAH AEON ANGGUN,PERSIARAN ANGGUN, TAMAN ANGGUN",48000,Selangor,Selangor,0360912077,3.31666,101.536,true
321,ALL SEASON PLACE PENANG,"NO 6H-1-15 LVL 1, ALL SEASON PLACE,LEBUHRAYA THEAN TEIK,BANDAR BARU AYER ITEM",11500,Pulau Pinang,Pulau Pinang,048267266,5.39587,100.29,false
323,GIANT SUPERSTORE TUNJUNG,"LOT G17, GROUND FLOOR,,1, PERSIARAN LAGENDA,,BANDAR BARU TUNJUNG, SEKSYEN 65",15100,Kelantan,Kelantan,09-7406 765,6.07463,102.234,false
324,NU SENTRAL SHOPPING CENTRE,"LOT NO LG23 & LG24 LOWER GROUND,NU SENTRAL SHOPPING CENTRE,JALAN TUN SAMBANTHAN",50470,Wil. Persekutuan,Kuala Lumpur,03-22721443,3.13339,101.688,true
325,MEDAN PUTRA BANDAR MANJALARA,"67 GROUND FLOOR JALAN MEDAN PUTRA 1,MEDAN PUTRA BUSINESS CENTRE,BANDAR MENJALARA",52200,Wil. Persekutuan,Kuala Lumpur,03-6272 0705,3.1914,101.626,false
326,AEON STATION 18 PERAK,"LOT G09, AEON IPOH STATION18,2 SUSURAN STESEN 18,STATION 18",31650,Perak,Perak,05-322 2469,4.54608,101.07,true
327,GUARDIAN GIANT SUPERMARKET LABUAN,"LOT E011 GF GIANT SUPERMARKET LABUA,FINANCIAL PARK LABUAN COMPLEX,JALAN MERDEKA",87000,Labuan,Sabah,087-413 669,5.27614,115.249,false
328,SHAFTSBURY SQUARE CYBERJAYA,"UNIT P1-29 SHAFTSBURY SQUARE,PERSIARAN MULTIMEDIA,CYBER 6",63000,Selangor,Selangor,03-8318 1291,2.92334,101.661,true
329,HARBOUR MALL SANDAKAN,"LOT G06 GROUND FLOOR,HARBOUR MALL SANDAKAN,SANDAKAN HARBOUR SQUARE",90000,Sabah,Sabah,089-276 686,5.83889,118.12,false
330,JALAN BESAR MENGLEMBU,"115 GROUND FLOOR,JALAN BESAR",31450,Perak,Perak,05-281 5643,4.56662,101.047,false
331,1 SEGAMAT JOHOR,"LOT G47 GROUND FLOOR,1 SEGAMAT,JALAN KOLAM AIR",85000,Johor,Johor,079310094,2.50902,102.812,false
332,CENANG MALL LANGKAWI,"LOT GF3 CENANG MALL LANGKAWI,LOT 2605 JALAN PANTAI CENANG,MUKIM KEDAWANG",7000,Kedah,Kedah,04-955 2314,6.29094,99.7279,false
333,SUMMER SHOPPING MALL KUCHING,"G18 G130 G131 & G132 GROUND FLOOR,THE SUMMER SHOPPING MALL,JALAN DATO MOHD MUSA",94300,Sarawak,Sarawak,082-661844,1.45474,110.459,false
334,KOMPLEKS ARAU,"G41&G42,TINGKAT BAWAH,KOMPLEKS TOK ARAU,JALAN ARAU-KODIANG",2600,Perlis,Perlis,04-986 2703,6.42832,100.274,false
335,PLAZA MERDEKA KUCHING,"LOT NO B-02 & PART OF B-03,BASEMENT 1 PLAZA MERDEKA,NO 88, PEARL STREET",93000,Sarawak,Sarawak,082-234 944,1.55883,110.344,false
336,STAR CITY MENTAKAB,"LOT G28 & G29, GROUND FLOOR,MENTAKAB STAR CITY,NO 1 JALAN STAR CITY, STAR CITY",28400,Pahang,Pahang,09-278 5141,3.4711,102.331,false
337,KOTA KEMUNING SHAH ALAM,"NO 39, GROUND FLOOR,JALAN ANGGERIK VANILLA N31/N,KOTA KEMUNING",40460,Selangor,Selangor,03-5122 4858,3.00347,101.539,false
338,TERMINAL BERSEPADU SELATAN,"UNIT L3-6, THIRD FLOOR, TERMINAL,JALAN TERMINAL SELATAN,BANDAR TASIK SELATAN",57100,Wil. Persekutuan,Kuala Lumpur,03-9059 4988,3.078,101.711,false
339,GUARDIAN PUBLIKA,"Lot 10,Level UG,Publika,,Solaris Dutamas,,Jalan Dutamas 1",50480,Wil. Persekutuan,Kuala Lumpur,03-6206 4315,3.171353745455149,101.66542627388145,false
340,MILE 4 SANDAKAN,"LOT 1 GROUND FLOOR, BLOCK 7,BANDAR INDAH,MILE 4 NORTH ROAD",90000,Sabah,Sabah,089-220 636,5.85504,118.074,false
341,CHERAS SENTRAL MALL,"LOT NO 700-1F-38E & 700-1F-38F,FIRST FLOOR CHERAS CENTRAL,JALAN 2/142A OFF JALAN CHERAS, KM10",56000,Wil. Persekutuan,Kuala Lumpur,03-91001808,3.07859,101.745,false
342,EAST COAST MALL KUANTAN,"UNIT 2-42, LEVEL 2, EAST COAST MALL,JALAN PUTRA SQUARE 6,PUTRA SQUARE",25200,Pahang,Pahang,09-560 9242,3.81802,103.326,false
343,KLIA2,"L2-143, LEVEL 2, GATEWAY@KLIA2,,TERMINAL KLIA2, KL INTERNATIONAL,JALAN KLIA2/1,",64000,Selangor,Selangor,03-87878171,2.74367,101.686,true
344,GUARDIAN GIANT KUALA PILAH,"LOT NO G14-G17,GIANT SUPERSTORE KUALA PILAH,JALAN MELANG",72000,Negeri Sembilan,Negeri Sembilan,1 700 81 4506,2.73718,102.218,false
345,GURNEY PARAGON MALL,"163D-LG-07 & 08,GURNEY PARAGON MALL,PERSIARAN GURNEY",10250,Pulau Pinang,Pulau Pinang,04-2189033,5.43544,100.311,false
346,TESCO ARA DAMANSARA,"LOT F17 & F18, 1ST FLOOR,,TESCO ARA DAMANSARA,1 JLN PJU 1A/3A,ARA DAMANSARA, PJU 1A",47810,Selangor,Selangor,03-7859 8853,3.11849,101.576,false
347,SAUJANA UTAMA,"65-G, GROUND FLOOR,JALAN BIDARA 8,SAUJANA UTAMA 8",47000,Selangor,Selangor,0360383067,3.20321,101.487,true
348,TANJUNG MALIM PERAK,"44 TINGKAT BAWAH,JALAN BUNGA RAYA,TAMAN BUNGA RAYA",35900,Perak,Perak,05-458 3395,3.68171,101.52,false
349,ALOR SETAR MALL,"LOT G11, GF, ALOR SETAR MALL,KAWASAN PERUSAHAAN TANDOP BARU",5400,Kedah,Kedah,04-7711 334,6.08164,100.361,false
350,TAMAN MELAWATI KUALA LUMPUR,"NO 232, GRD FLOOR, JALAN BANDAR 13,TAMAN MELAWATI METRO 1,TAMAN MELAWATI",53100,Wil. Persekutuan,Kuala Lumpur,03-41012113,3.20936,101.749,false
352,PERMAISURI IMPERIAL MIRI,"FF31 & FF32, FIRST FLOOR,PERMAISURI IMPERIAL CITY MALL,JALAN MERPATI",98000,Sarawak,Sarawak,085-419048,4.40053,113.99,false
353,SEMUA HOUSE,"LOT 1.21 FIRST FLOOR,SEMUA HOUSE,JALAN BUNUS 6",50100,Wil. Persekutuan,Kuala Lumpur,03-26914013,3.15516,101.698,false
354,AEON KULAI,"F01&F02,1ST FLR AEON MALL KULAIJAYA,PERSIARAN INDAHPURA UTAMA,BANDAR INDAHPURA",81000,Johor,Johor,07-660 6148,1.64071,103.617,false
355,PARADIGM MALL,"LOT GB-11, GROUND FLOOR, PARADIGM,NO 1, JALAN SS7/26A,KELANA JAYA",47301,Selangor,Selangor,03-78028467,3.10508,101.596,false
358,SUNGAI WANG PLAZA,"UNIT NO C02&03 CONCOURSE LEVEL,SUNGEI WANG PLAZA,JALAN BUKIT BINTANG",55100,Wil. Persekutuan,Kuala Lumpur,03 2141 0031,3.14433,101.711,false
359,KEPALA BATAS PENANG,"10&12,GF, JLN DAGANGAN 8,,PUSAT BANDAR BERTAM PERDANA,KEPALA BATAS",13200,Pulau Pinang,Pulau Pinang,04-5754 785,5.517,100.45,false
362,1ST AVENUE PENANG,"LOTS LG-13 & LG-14,,1st AVENUE,182 JALAN MAGAZINE",10300,Pulau Pinang,Pulau Pinang,042610025,5.41329,100.332,false
364,QUILL CITY MALL KL,"LOTS NO. 2-37 & 2-38, SECOND FLOOR,QUILL CITY MALL,JALAN SULTAN ISMAIL",50250,Wil. Persekutuan,Kuala Lumpur,03-26022582,3.15964,101.701,false
365,ENCORP STRAND MALL,"F45&F46,1ST FLOOR ENCORP STAND MALL,PUSAT PERDAGANGAN KOTA DAMANSARA,JALAN PJU5 KOTA DAMANSARA",47810,Selangor,Selangor,03-61518391,3.15532,101.593,false
366,AVENUE K,"L1-14 & L1-15, LEVEL 1 AVENUE K,156 JALAN AMPANG",50450,Wil. Persekutuan,Kuala Lumpur,03-21612642,3.15961,101.713,false
368,AEON MALL TAIPING,"LOT F41 & F41A, 1ST FLOOR,AEON MALL TAIPING,JALAN KAMUNTING",34600,Perak,Perak,05-8048094,4.8725,100.729,false
369,IMAGO SHOPPING MALL,"B29 & B30, IMAGO SHOPPING MALL,KK TIMES SQUARE PHASE 2,JALAN COASTAL",88100,Sabah,Sabah,088-274621,5.97091,116.066,true
370,Guardian IOI Mall 2,"LG-263 & 265, Lower Ground Floor,IOI City Mall Phase II",62502,Wil. Persekutuan,Kuala Lumpur,0389385310,2.96922,101.714,false
372,AEON BUKIT MERTAJAM,"G29A & G29B,GF,AEON MALL BKT MERTAJ,LOT NO 30908, JALAN ROZHAN ALMA,,SEBERANG PRAI TENGAH",14000,Pulau Pinang,Pulau Pinang,04-5489742,5.32097,100.478,false
373,SUNWAY PUTRA MALL,"LG-5, SUNWAY PUTRA MALL,,100, JALAN PUTRA,",50350,Wil. Persekutuan,Kuala Lumpur,03-4040 0726,3.16625,101.692,true
374,ONE CITY USJ,"A-GF-07, GROUND FLOOR,,ONE CITY MALL,,JALAN USJ 25/1A,",47650,Selangor,Selangor,03-5115 0313,3.02145,101.581,false
377,STAR AVENUE SUBANG BESTARI,"LOT L1-08,STAR AVENUE LIFESTYLE,NO. 3,JALAN ZUHAL U5/179,PUSAT,PUSAT KOMERSIAL ARENA BINTANG,SEKU5",40150,Selangor,Selangor,03-7831 4518,3.15481,101.554,false
378,AEON KLEBANG,"AEON MALL IPOH KLEBANG,LIT 12080, KLEBANG PERDANA",31200,Perak,Perak,05-291 8314,4.6773,101.123,false
379,"VIVACITY MALL, KUCHING","LG–001,002&004,LG FLOOR,,VIVACITY MEGAMALL, JALAN WAN ALWI,",93350,Sarawak,Sarawak,082263880,1.52685,110.369,true
381,AMAN CENTRAL,"LG-03, LOWER GROUND FLOOR,,AMAN CENTRAL,,LEBUHRAYA DARUL AMAN,",5100,Kedah,Kedah,04-7304 480,6.1248,100.366,false
